lat_deg,lat_min,long_deg,long_min,bearing,speed
42,17.63500000000022,-83,-42.792600000000675,148.11,0.1
42,17.63500000000022,-83,-42.792600000000675,141.19,0.12
42,17.63500000000022,-83,-42.792600000000675,146.2,0.11
42,17.63500000000022,-83,-42.79269999999997,144.0,0.11
42,17.63510000000042,-83,-42.79269999999997,143.0,0.09
42,17.63510000000042,-83,-42.79269999999997,153.14,0.13
42,17.63510000000042,-83,-42.79269999999997,137.72,0.11
42,17.63510000000042,-83,-42.79269999999997,142.6,0.09
42,17.63510000000042,-83,-42.79269999999997,145.8,0.11
42,17.63510000000042,-83,-42.79269999999997,137.49,0.12
42,17.63510000000042,-83,-42.79269999999997,151.82,0.1
42,17.63510000000042,-83,-42.79279999999926,141.01,0.1
42,17.63510000000042,-83,-42.79279999999926,148.5,0.13
42,17.63510000000042,-83,-42.79279999999926,141.76,0.1
42,17.63510000000042,-83,-42.79279999999926,141.69,0.14
42,17.63510000000042,-83,-42.79279999999926,147.01,0.12
42,17.63510000000042,-83,-42.79279999999926,145.33,0.1
42,17.63510000000042,-83,-42.79279999999926,148.9,0.11
42,17.63510000000042,-83,-42.79279999999926,142.32,0.13
42,17.63510000000042,-83,-42.79279999999926,152.37,0.13
42,17.63510000000042,-83,-42.79290000000037,135.73,0.1
42,17.63510000000042,-83,-42.79290000000037,147.74,0.1
42,17.63510000000042,-83,-42.79290000000037,149.61,0.16
42,17.63500000000022,-83,-42.79290000000037,147.62,0.12
42,17.63500000000022,-83,-42.79290000000037,143.98,0.12
42,17.63500000000022,-83,-42.79290000000037,151.28,0.13
42,17.63500000000022,-83,-42.79290000000037,142.15,0.12
42,17.63500000000022,-83,-42.79290000000037,144.73,0.13
42,17.63500000000022,-83,-42.79290000000037,145.12,0.11
42,17.63500000000022,-83,-42.79290000000037,141.67,0.18
42,17.634900000000016,-83,-42.79279999999926,139.53,0.17
42,17.634900000000016,-83,-42.79279999999926,152.13,0.13
42,17.634900000000016,-83,-42.79290000000037,164.32,0.08
42,17.63500000000022,-83,-42.79290000000037,192.74,0.05
42,17.63500000000022,-83,-42.792999999999665,145.75,0.11
42,17.63500000000022,-83,-42.792999999999665,139.51,0.1
42,17.63500000000022,-83,-42.792999999999665,146.12,0.13
42,17.634900000000016,-83,-42.792999999999665,141.33,0.12
42,17.634900000000016,-83,-42.792999999999665,142.0,0.1
42,17.634900000000016,-83,-42.79290000000037,145.51,0.13
42,17.634900000000016,-83,-42.79290000000037,145.13,0.14
42,17.634900000000016,-83,-42.79290000000037,142.8,0.1
42,17.634900000000016,-83,-42.79290000000037,129.9,0.11
42,17.634900000000016,-83,-42.79290000000037,145.01,0.11
42,17.634799999999814,-83,-42.79290000000037,143.6,0.14
42,17.634799999999814,-83,-42.79290000000037,138.34,0.11
42,17.634799999999814,-83,-42.79290000000037,137.54,0.12
42,17.634799999999814,-83,-42.79290000000037,140.91,0.11
42,17.634799999999814,-83,-42.79279999999926,136.43,0.12
42,17.634799999999814,-83,-42.79279999999926,143.58,0.13
42,17.634799999999814,-83,-42.79279999999926,131.1,0.09
42,17.634799999999814,-83,-42.79279999999926,144.4,0.13
42,17.634799999999814,-83,-42.79279999999926,138.51,0.12
42,17.634799999999814,-83,-42.79279999999926,140.16,0.13
42,17.634799999999814,-83,-42.79279999999926,136.65,0.09
42,17.634799999999814,-83,-42.79279999999926,137.99,0.1
42,17.634799999999814,-83,-42.79279999999926,139.8,0.12
42,17.634799999999814,-83,-42.79279999999926,138.87,0.1
42,17.634900000000016,-83,-42.79279999999926,133.49,0.12
42,17.634900000000016,-83,-42.79290000000037,146.17,0.12
42,17.634900000000016,-83,-42.79279999999926,121.77,0.1
42,17.634799999999814,-83,-42.79279999999926,148.57,0.1
42,17.634799999999814,-83,-42.79279999999926,127.89,0.09
42,17.634900000000016,-83,-42.79279999999926,139.22,0.08
42,17.634900000000016,-83,-42.79279999999926,137.72,0.11
42,17.634799999999814,-83,-42.79279999999926,138.13,0.14
42,17.634799999999814,-83,-42.79279999999926,121.88,0.09
42,17.634799999999814,-83,-42.79279999999926,131.41,0.27
42,17.634799999999814,-83,-42.79279999999926,156.6,0.11
42,17.634799999999814,-83,-42.79269999999997,131.27,0.11
42,17.634799999999814,-83,-42.79269999999997,162.66,0.07
42,17.634799999999814,-83,-42.79269999999997,136.78,0.12
42,17.63469999999961,-83,-42.79269999999997,148.71,0.13
42,17.63469999999961,-83,-42.79269999999997,158.6,0.05
42,17.63469999999961,-83,-42.79269999999997,135.19,0.1
42,17.63469999999961,-83,-42.79269999999997,131.53,0.1
42,17.63469999999961,-83,-42.79269999999997,134.77,0.14
42,17.63469999999961,-83,-42.79269999999997,141.92,0.1
42,17.63469999999961,-83,-42.79269999999997,137.19,0.14
42,17.63469999999961,-83,-42.79269999999997,139.07,0.11
42,17.63469999999961,-83,-42.79269999999997,136.76,0.1
42,17.63469999999961,-83,-42.79269999999997,137.78,0.13
42,17.63469999999961,-83,-42.79269999999997,144.06,0.11
42,17.63460000000032,-83,-42.79269999999997,136.95,0.07
42,17.63460000000032,-83,-42.79269999999997,144.33,0.13
42,17.63460000000032,-83,-42.79269999999997,133.97,0.12
42,17.63460000000032,-83,-42.79269999999997,132.84,0.1
42,17.63460000000032,-83,-42.79269999999997,134.55,0.1
42,17.63460000000032,-83,-42.79269999999997,143.63,0.15
42,17.63460000000032,-83,-42.79269999999997,136.29,0.11
42,17.63460000000032,-83,-42.792600000000675,228.37,0.02
42,17.63460000000032,-83,-42.79269999999997,135.78,0.09
42,17.63460000000032,-83,-42.79269999999997,128.6,0.21
42,17.63460000000032,-83,-42.792600000000675,128.26,0.23
42,17.63460000000032,-83,-42.792600000000675,139.1,0.14
42,17.63460000000032,-83,-42.792600000000675,139.54,0.11
42,17.63460000000032,-83,-42.792600000000675,120.68,0.07
42,17.63469999999961,-83,-42.79269999999997,132.59,0.08
42,17.63469999999961,-83,-42.79269999999997,136.15,0.1
42,17.63469999999961,-83,-42.79269999999997,124.43,0.11
42,17.63469999999961,-83,-42.79269999999997,140.2,0.09
42,17.63469999999961,-83,-42.79269999999997,137.68,0.12
42,17.63469999999961,-83,-42.792600000000675,126.31,0.11
42,17.63469999999961,-83,-42.792600000000675,135.04,0.12
42,17.63469999999961,-83,-42.792600000000675,133.83,0.09
42,17.63469999999961,-83,-42.792600000000675,134.09,0.13
42,17.63469999999961,-83,-42.792600000000675,132.15,0.11
42,17.63469999999961,-83,-42.792600000000675,132.84,0.11
42,17.63469999999961,-83,-42.79249999999956,134.5,0.12
42,17.63469999999961,-83,-42.79249999999956,124.25,0.11
42,17.63469999999961,-83,-42.79249999999956,142.5,0.14
42,17.63469999999961,-83,-42.79249999999956,130.82,0.08
42,17.63469999999961,-83,-42.79249999999956,130.31,0.13
42,17.63469999999961,-83,-42.79249999999956,137.67,0.11
42,17.63469999999961,-83,-42.79249999999956,136.93,0.12
42,17.63469999999961,-83,-42.79249999999956,131.58,0.13
42,17.63469999999961,-83,-42.79240000000027,142.89,0.12
42,17.63469999999961,-83,-42.79240000000027,133.0,0.11
42,17.63469999999961,-83,-42.79240000000027,135.77,0.12
42,17.63469999999961,-83,-42.79240000000027,143.53,0.1
42,17.63469999999961,-83,-42.79240000000027,144.29,0.11
42,17.63469999999961,-83,-42.79240000000027,140.09,0.13
42,17.63460000000032,-83,-42.79240000000027,139.5,0.11
42,17.63460000000032,-83,-42.79240000000027,142.4,0.12
42,17.63469999999961,-83,-42.79240000000027,165.84,0.07
42,17.63460000000032,-83,-42.79240000000027,124.18,0.21
42,17.63460000000032,-83,-42.79229999999916,133.98,0.13
42,17.63469999999961,-83,-42.79229999999916,139.47,0.12
42,17.63469999999961,-83,-42.79240000000027,172.13,0.06
42,17.63460000000032,-83,-42.79229999999916,130.58,0.22
42,17.63469999999961,-83,-42.79229999999916,142.83,0.11
42,17.63469999999961,-83,-42.79229999999916,134.37,0.12
