lat_deg,lat_min,long_deg,long_min,bearing,speed
42,16.543285369873047,-83,-43.744686126708984,224.80157470703125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80279541015625,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79443359375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.8055419921875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.800048828125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.795654296875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80511474609375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.8094482421875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80328369140625,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.8153076171875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.81329345703125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79364013671875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.8031005859375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80694580078125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80419921875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.8175048828125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79180908203125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79083251953125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.7794189453125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.781005859375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.78045654296875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.78240966796875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79412841796875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80145263671875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79254150390625,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79791259765625,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79217529296875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.79248046875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.7811279296875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.77099609375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.77642822265625,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.7796630859375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.78082275390625,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.783203125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.7855224609375,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.80255126953125,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.7791748046875,-1.0
42,16.543285369873047,-83,-43.744686126708984,224.7830810546875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79150390625,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79022216796875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79315185546875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.777099609375,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.7835693359375,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.812255859375,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.8118896484375,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79632568359375,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.8026123046875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79962158203125,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79736328125,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.7969970703125,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.789306640625,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.77203369140625,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.78485107421875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.79022216796875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.78533935546875,-1.0
42,16.54344367980957,-83,-43.7449836730957,224.7880859375,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.7711181640625,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.7886962890625,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.7691650390625,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.7567138671875,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.77734375,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.7802734375,-1.0
42,16.54351234436035,-83,-43.74534225463867,224.7882080078125,-1.0
