lat_deg,lat_min,long_deg,long_min,bearing,speed
-0.0,-1.5129575155721876e-10,-0.0,-7.997472992780183e-11,3.877633828677351,0.0012540495771486122
-0.0,-4.2877873209422715e-10,-0.0,-8.383153252915317e-11,3.9545901567991155,0.0026533879336507766
-0.0,-7.63092322604847e-10,-0.0,-6.620524141005961e-12,2.159276391579848,0.0037423253971783986
-0.0,-1.0871234019131396e-09,0.0,5.0348008590786714e-11,2.227043953737892,0.0038894083206393163
-0.0,-1.4473247104529033e-09,0.0,8.745843617275676e-11,5.3922671942198495,0.003447830339535872
-0.0,-1.909822398058796e-09,0.0,1.687428549889005e-10,4.755588321425082,0.004605287463744731
-0.0,-2.4474665710881034e-09,0.0,3.1396156771823793e-10,2.8229552054949165,0.005855283075926698
-0.0,-3.0536961459342323e-09,0.0,4.784470206173887e-10,1.5120771379497522,0.006538121148150459
-0.0,-3.7490382863727875e-09,0.0,6.076430296477396e-10,2.8211608108180695,0.007438116493819377
-0.0,-4.546426299880423e-09,0.0,6.921437209472413e-10,3.873404818711238,0.008309188453779433
-0.0,-5.43237358005356e-09,0.0,7.624371687941243e-10,3.5099444647661597,0.00953102827004818
-0.0,-6.349868629897633e-09,0.0,8.430266938425394e-10,0.24279546784870432,0.010233473812418037
-0.0,-7.262699437780707e-09,0.0,9.296508490678186e-10,4.748019791926399,0.010249785979972148
-0.0,-8.164679876562111e-09,0.0,1.0235989714925664e-09,1.627349222447248,0.010141846367316113
-0.0,-9.05982353188763e-09,0.0,1.1323993030336265e-09,0.6979811890138308,0.010026705913885216
-0.0,-9.927988706104116e-09,0.0,1.2594368076288167e-09,1.2304426761570508,0.010027470961555391
-0.0,-1.0737366336897501e-08,0.0,1.3818375241234548e-09,4.969016023328361,0.009488131632397256
-0.0,-1.1487022620364096e-08,0.0,1.4788549255737457e-09,3.45703973934092,0.008717910855624888
-0.0,-1.2169711504145169e-08,0.0,1.5844514149897554e-09,4.939399770417197,0.008093209240336376
-0.0,-1.2771745579775428e-08,0.0,1.7184550266449857e-09,3.7678021356052467,0.007278786802011372
-0.0,-1.3282327000492941e-08,0.0,1.886811018787644e-09,3.2736626865668343,0.006444094030351064
-0.0,-1.3638755814548564e-08,0.0,2.0916077428221267e-09,3.4867841140994615,0.005542903542712072
-0.0,-1.3816535234951403e-08,0.0,2.256346007383503e-09,3.651550081819777,0.003708331257283753
-0.0,-1.3960574767467107e-08,0.0,2.232800747320907e-09,3.098260029404037,0.0016900686701211238
-0.0,-1.4128759409046288e-08,0.0,2.0625923007082853e-09,4.711428849602186,0.0027176513444044496
-0.0,-1.4158431017867318e-08,0.0,1.916798680766707e-09,1.1238005934650344,0.002622383908744184
-0.0,-1.4085257545804638e-08,0.0,1.6826522417824057e-09,4.0507011451979915,0.0015947019910667142
-0.0,-1.401822359999669e-08,0.0,1.3023392459997134e-09,2.5750619383493745,0.004026276737772611
-0.0,-1.391046378195466e-08,0.0,1.0466256194522e-09,0.8029665637016951,0.004563816157591713
-0.0,-1.3812114804856626e-08,0.0,1.0655153147175788e-09,3.7247341270476015,0.0019380149731823056
-0.0,-1.3714914022719895e-08,0.0,1.2548394288563594e-09,2.22008017873605,0.0017624334810162087
-0.0,-1.3541131945047392e-08,0.0,1.559676916530186e-09,4.143342531302627,0.0029800368637319117
-0.0,-1.3316581341971993e-08,0.0,2.0622912915974012e-09,3.2065812902827764,0.00482353737256851
-0.0,-1.298133452533724e-08,0.0,2.624364020950862e-09,4.316468988766804,0.007454556456556525
-0.0,-1.2406141700112471e-08,0.0,3.1467566163725725e-09,5.060059951769626,0.007339862161596165
-0.0,-1.1603345403533605e-08,0.0,3.924241681810884e-09,2.3577120698706766,0.010022343958517031
-0.0,-1.0554989612982485e-08,0.0,5.174236277301495e-09,4.56709636644571,0.014942567896471914
-0.0,-9.242112537157102e-09,0.0,6.821917183832381e-09,0.9059648834664917,0.021347326410545497
-0.0,-7.941387996396602e-09,0.0,8.594206490610804e-09,4.188105723190809,0.025506092086351073
-0.0,-6.712982944457006e-09,0.0,1.0309286363503359e-08,2.8444318663568158,0.023414562347483122
-0.0,-5.358963183228545e-09,0.0,1.1848111410282479e-08,3.329030893731204,0.023516288653842945
-0.0,-3.956499135482984e-09,0.0,1.3062317415620939e-08,3.129115509771019,0.02220250602360762
-0.0,-2.387771298198857e-09,0.0,1.3896458982692599e-08,4.11347562702635,0.019128366918050598
-0.0,-3.670143241672098e-10,0.0,1.4185928929082338e-08,2.7400833068030535,0.020848065374622526
0.0,2.189532150326532e-09,0.0,1.385980201592531e-08,2.2030557289378145,0.025309785793372723
0.0,5.354787122071828e-09,0.0,1.3099067881986e-08,2.2240236783159664,0.03225213461288459
0.0,9.191613263718707e-09,0.0,1.1932160071204396e-08,2.5239836517460623,0.040165688018407385
0.0,1.340382243575919e-08,0.0,1.046922701121658e-08,2.8614665863113764,0.0490722048840456
0.0,1.7793213355640773e-08,0.0,9.111255488088876e-09,2.2841652565899686,0.05009520001757926
0.0,2.2626433824629484e-08,0.0,7.884000957116482e-09,5.467298757350926,0.05217298856354814
0.0,2.7885513347584605e-08,0.0,6.734288257284576e-09,3.1656079628828477,0.05872964058908873
0.0,3.3393261197961566e-08,0.0,5.500066510576567e-09,5.14046681506909,0.06102197481946488
0.0,3.9049905652764e-08,0.0,3.827702396593576e-09,3.999170504543372,0.06454960379225219
0.0,4.460604717806718e-08,0.0,1.9614060975650716e-09,1.5936516453692287,0.06673449461257759
0.0,4.982306586321709e-08,0.0,1.7442910074640044e-10,1.2617984826294433,0.06361325374029256
0.0,5.499826014277298e-08,-0.0,-1.4008854090623216e-09,3.1819458741025852,0.0590301511149083
0.0,6.051046721865146e-08,-0.0,-2.337844496116331e-09,2.732851616550744,0.06138533277511168
0.0,6.612740727526702e-08,-0.0,-2.5759325913546977e-09,3.7601905239091487,0.06339615387126629
